"Código SIEX";"Forma jurídica";"Descripción";Fecha de alta;Fecha de modificación;Fecha de baja
"11";"Sociedad civil con objeto mercantil";"Entidad constituida mediante contrato privado que desarrolla una actividad económica agraria con carácter mercantil, actuando de forma conjunta y siendo considerada sujeto pasivo del Impuesto sobre Sociedades. Normativa: Código Civil; Ley 27/2014, de 27 de noviembre, del Impuesto sobre Sociedades.";01/02/2023;27/05/2026;
"12";"Sociedad mercantil";"Entidad con personalidad jurídica propia y ánimo de lucro que realiza una actividad agraria organizada empresarialmente, asumiendo derechos y obligaciones de forma independiente a sus socios. Normativa: Código de Comercio; Real Decreto Legislativo 1/2010, de 2 de julio, Ley de Sociedades de Capital.";01/02/2023;27/05/2026;
"13";"Titularidad compartida";"Régimen jurídico que permite a dos personas gestionar conjuntamente una explotación agraria, compartiendo derechos, responsabilidades, rendimientos y ayudas públicas, con reconocimiento individual de su actividad profesional. Normativa: Ley 35/2011, de 4 de octubre, sobre titularidad compartida de las explotaciones agrarias.";01/02/2023;27/05/2026;
"14";"Otra agrupación de personas fisicas";"Forma de gestión conjunta de una explotación agraria por varias personas sin encajar en figuras jurídicas específicas, basada en acuerdos privados y con responsabilidad directa de sus integrantes. Normativa: Código Civil y normativa agraria aplicable.";01/02/2023;27/05/2026;
"15";"Sociedad limitada";"Entidad con personalidad jurídica propia en la que la responsabilidad de los socios se limita al capital aportado, utilizada para el ejercicio de actividades agrarias con estructura empresarial. Normativa: Real Decreto Legislativo 1/2010, de 2 de julio, Ley de Sociedades de Capital.";01/02/2023;27/05/2026;
"16";"Sociedad anónima";"Entidad mercantil cuyo capital está dividido en acciones y en la que los socios no responden personalmente de las deudas sociales, aplicable también a explotaciones agrarias de mayor dimensión económica. Normativa: Real Decreto Legislativo 1/2010, de 2 de julio, Ley de Sociedades de Capital.";01/02/2023;27/05/2026;
"17";"Administración";"Entidad perteneciente al sector público que puede ser titular de explotaciones agrarias con fines de gestión patrimonial, investigación, formación o interés público. Normativa: Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público.";01/02/2023;27/05/2026;
"18";"Asociación ";"Entidad sin ánimo de lucro constituida por varias personas para la consecución de fines comunes, que puede ser titular de explotaciones agrarias siempre que la actividad esté alineada con sus fines estatutarios. Normativa: Ley Orgánica 1/2002, de 22 de marzo, reguladora del Derecho de Asociación.";01/02/2023;27/05/2026;
"19";"Sociedad Rural Menorquina (SMR) con objeto mercantil";"Forma societaria propia del derecho civil balear destinada al ejercicio de actividades agrarias con finalidad mercantil, regulada como una organización estable para la explotación económica de fincas rústicas. Normativa: Decreto Legislativo 79/1990, Compilación del Derecho Civil de las Illes Balears.";20/12/2024;27/05/2026;
"20";"Sociedad Rural Menorquina (SMR) sin objeto mercantil";"Entidad tradicional del ámbito rural menorquín orientada a la gestión y aprovechamiento de explotaciones agrarias sin finalidad mercantil, basada en la colaboración entre sus miembros. Normativa: Decreto Legislativo 79/1990, Compilación del Derecho Civil de las Illes Balears.";20/12/2024;27/05/2026;
