"Código SIEX";"Código asociación";"NIF";"Razón social";"Detalle";"Autoridad competente";Fecha de alta;Fecha de modificación;Fecha de baja
"38";"ES0075";"F04008470";"HORTAMAR";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"39";"ES0077";"F04011375";"VICASOL";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"40";"ES0078";"F46024139";"SECCIÓN CITRÍCOLA Y HORTOFRUTÍCOLA DE LA COOPERATIVA AGRICOLA SAN JOSE DE ALCÀSSER COOP. V.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"41";"ES0087";"F46025797";"VINICOLA SAN PEDRO APOSTOL";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"42";"ES0088";"F25015900";"SANT GAIETÀ,";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"43";"ES0093";"F46101192";"SECCIÓN FRUTOS, HORTALIZAS Y CÍTRICOS DE LA COOPERATIVA AGRÍCOLA LA CONSTANCIA DE POBLA DE VALLBONA S. COOP. V LTDA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"44";"ES0094";"F30087787";"COAGUILAS";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"45";"ES0100";"F46024196";"SECCIÓN ORGANIZACIÓN DE PRODUCTORES DE LA COOPERATIVA HORTOFRUTICOLA DE ALZIRA ALZICOOP. COOP. V.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;14/08/2025
"46";"ES0101";"F04002275";"CAMPOSOL";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"47";"ES0103";"F04005344";"SAN ISIDRO LABRADOR";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"48";"ES0105";"F04013462";"COHORSAN";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"49";"ES0106";"F30036628";"GREGAL";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"50";"ES0127";"F25010315";"APYFA";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"51";"ES0128";"F25004086";"LA BORGENCA";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"52";"ES0129";"F03065604";"S.C.A. MONTAÑA DEL VINALOPÓ COOP. V.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"53";"ES0131";"F25003401";"AGRÍCOLA D´ALBATÀRREC";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"54";"ES0132";"F25003559";"COOP. SANT ISIDRE DE LES BORGES BLANQUES";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"55";"ES0133";"F46051066";"COOP. AGRICOLA DE PUZOL COOP. V.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"56";"ES0138";"V25010653";"TORNAFRUIT";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"57";"ES0144";"F21004858";"NTRA. SRA. DE LA BELLA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"58";"ES0148";"F46024378";"SECCIÓN HORTOFRUTÍCOLA DE LA AGRICOLA SAN SALVADOR, COOP. V.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";17/12/2025;17/12/2025;06/10/2023
"59";"ES0149";"F46230827";"LA TURISANA, COOP. V.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"60";"ES0153";"F12010450";"COSECHEROS DEL NIÑO PERDIDO";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"61";"ES0157";"V25690017";"SAFRUSE";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"62";"ES0158";"F22002851";"DEL CAMPO SAN MARCOS BINACETENSE";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"63";"ES0162";"F03070794";"CAMBAYAS COOP. V.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"64";"ES0164";"F12009353";"SECCIÓN HORTOFRUTÍCOLA DE LA COOPERATIVA AGRICOLA SAN ISIDRO DE BENICARLO";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"65";"ES0185";"F03245834";"CITRICOS BIGASTRO";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"66";"ES0199";"F30092985";"LA VEGA DE PLIEGO";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"67";"ES0200";"F44003127";"SAN MIGUEL (COFRUVAL)";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"68";"ES0204";"F16022964";"COOPAMAN (2º GRADO)";"Organización de productores de frutas y hortalizas";"CASTILLA - LA MANCHA";26/12/2023;;
"69";"ES0206";"F30200471";"COBUCO";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"70";"ES0207";"F30167035";"SECCION OPFH FRUTAS Y CITRICOS DE MULA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"71";"ES0209";"F43011287";"UNIÓ NUTS, SCCL";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"72";"ES0210";"F12011052";"EXPORTADORA D´AGRIS D´ALCANAR";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"73";"ES0213";"V02114486";"PROD. ALBARICOQUE DE ALBACETE";"Organización de productores de frutas y hortalizas";"CASTILLA - LA MANCHA";26/12/2023;;
"74";"ES0215";"F43012442";"COSELVA - AGRÍCOLA I SECCIÓ DE CRÈDIT DE LA SELVA DEL CAMP, SCCL";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;14/08/2025
"75";"ES0222";"F12009411";"SECCIÓN FRUTOS DE CÁSCARA Y ALGARROBAS DE LA COOP. SAN ISIDRO DE CUEVAS DE VINROMA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"76";"ES0229";"V25213893";"SAT NÚM. 9902 ""AGRO-ALMENDRA""";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"77";"ES0241";"F43074855";"L' AVELLANERA I SECCIÓ DE CREDIT, SCCL";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"78";"ES0243";"V07445844";"PRODUCTORES MALLORQUINES DE FRUTOS SECOS";"Organización de productores de frutas y hortalizas";"BALEARES";26/12/2023;;
"79";"ES0248";"F43022086";"GRUP FRUITER DE BENISSANET";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"80";"ES0249";"F25220104";"FRUITS SECS LES GARRIGUES, SCCL";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"81";"ES0251";"F30158984";"YEFRUT";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;14/08/2025
"82";"ES0255";"F30168934";"FRUTAS DE CARAVACA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"83";"ES0260";"F29040623";"ALMENDRERA DEL SUR";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;23/07/2024
"84";"ES0262";"F30032858";"THADER CIEZA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"85";"ES0263";"F46155511";"COOP. AGRICOLA DEL BAJO TURIA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"86";"ES0265";"F21047329";"HORTOFRUTICOLA DE CARTAYA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"87";"ES0266";"V50157510";"AGRICOLA DEL RIO JALON";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"88";"ES0272";"F25049875";"SAT NÚM 710  CAT LA PORTELLANA";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"89";"ES0275";"F46394052";"FRUITSECS";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"90";"ES0277";"F50333129";"SANTA LAURA";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;30/01/2024
"91";"ES0281";"F26124636";"ALMENDRERA RIOJANA";"Organización de productores de frutas y hortalizas";"LA RIOJA";26/12/2023;;30/01/2024
"92";"ES0282";"F03501988";"LA PEDRERA SOCIEDAD COOPERATIVA ";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"93";"ES0288";"F46027314";"SECCIÓN HORTÍCOLA DE LA COOPERATIVA VALENCIANA UNIÓN PROTECTORA DE EL PERELLÓ";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"94";"ES0289";"V06125181";"PRODUCTORES DE ALMENDRAS";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"95";"ES0293";"F41399221";"ROYAL";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"96";"ES0296";"F26129049";"RIOJANA DE FRUTOS SECOS";"Organización de productores de frutas y hortalizas";"LA RIOJA";26/12/2023;;
"97";"ES0299";"F02121929";"ALMENDRAS SIERRA DEL SEGURA";"Organización de productores de frutas y hortalizas";"CASTILLA - LA MANCHA";26/12/2023;;
"98";"ES0300";"F25005398";"AGROPECUARIA DE GUISSONA";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"99";"ES0302";"F50158708";"LA CHIPRANESCA";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"100";"ES0303";"F30220776";"ALMENDRAS MURCIANAS";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"101";"ES0304";"F30237994";"ALMENDRAS DEL SURESTE";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"102";"ES0308";"F31097280";"""A.N., S.COOP.""";"Organización de productores de frutas y hortalizas";"NAVARRA";26/12/2023;;
"103";"ES0310";"F21021183";"FRUTOS DEL CONDADO";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"104";"ES0313";"F46026126";"SECCIÓN ORGANIZACIÓN DE PRODUCTORES DE FRUTAS Y HORTALIZAS DE LA COOPERATIVA AGRÍCOLA CRISTO DEL MILAGRO";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;14/08/2025
"105";"ES0315";"F43230838";"FRUTOS SECOS ARACAVA,";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"106";"ES0316";"V07580012";"FRUITA BONA HORTOFRUTICOLA";"Organización de productores de frutas y hortalizas";"BALEARES";26/12/2023;;30/01/2024
"107";"ES0318";"F12013074";"COOP. FRUTICOLA DE BETXI";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"108";"ES0319";"F25284209";"GRUP COOPERATIU FRUITS DE PONENT, SCCL";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"109";"ES0321";"V07324213";"AGROILLA";"Organización de productores de frutas y hortalizas";"BALEARES";26/12/2023;;
"110";"ES0322";"F30221915";"ALMEMUR";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"111";"ES0323";"F21057039";"CUNA DE PLATERO";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"112";"ES0325";"F04001152";"SAN ISIDRO (CASI)";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"113";"ES0326";"F21023585";"HORTOFRUTICOLA DE BONARES (BONAFRU)";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"114";"ES0327";"F21030473";"CONDADO DE HUELVA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"115";"ES0331";"F96127949";"CHESTE AGRARIA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"116";"ES0332";"F30155519";"COTA 120";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"117";"ES0336";"F25023938";"ACTEL";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"118";"ES0339";"F22025563";"AGRICOLA DE OSSO";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"119";"ES0341";"F50464163";"FRUTICOLA BAJO ARAGONESA";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"120";"ES0343";"B30331573";"MOLINENSE PRODUCCIONES NATURALES";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;14/08/2025
"121";"ES0345";"F03842671";"SAT 9359 BONNYSA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"122";"ES0348";"F30367239";"LA VEGA DE CIEZA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"123";"ES0354";"F25285024";"TRECOOP FRUITS";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"124";"ES0355";"F02009629";"CHAMPINTER";"Organización de productores de frutas y hortalizas";"CASTILLA - LA MANCHA";26/12/2023;;
"125";"ES0356";"F30366942";"LA SULTANA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"126";"ES0358";"F31437239";"FRUTAS Y VERDURAS CASTEL-RUIZ";"Organización de productores de frutas y hortalizas";"NAVARRA";26/12/2023;;
"127";"ES0361";"V25299553";"PLA D’ESCARP, SAT 1235 CAT";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"128";"ES0364";"F12027413";"CITRIAS";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"129";"ES0367";"F30099667";"HORTOFRUTÍCOLA CAMPOS DE JUMILLA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"130";"ES0369";"V25305137";"LA CLAMO SAT 1247 CAT";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"131";"ES0377";"F21100458";"FRESAFLOR";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"132";"ES0380";"F12351193";"ARTAN-FRUT";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"133";"ES0385";"F12010658";"SOCIEDAD EXPORTACIÓN AGRIOS N.º 2 MONCOFA COOP. V.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";17/12/2025;17/12/2025;23/09/2025
"134";"ES0391";"V25309394";"FRUITA D´ALCARRÀS";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"135";"ES0397";"F12353975";"LA PLANA DE BURRIANA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"136";"ES0401";"F25306614";"SEGRIÀ-GARRIGUES sat 1243";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"137";"ES0410";"F12354189";"LA COSA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"138";"ES0411";"F12337176";"FRUTOS SECOS ESPAÑOLES";"Organización de productores de frutas y hortalizas";"CASTILLA - LA MANCHA";26/12/2023;;
"139";"ES0416";"F50550854";"DRUPO";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"140";"ES0421";"V25307554";"ARILFRUT,";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"141";"ES0424";"F25308446";"FRUITS SEGRIÀ-URGELL";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"142";"ES0426";"F04043444";"FERVA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"143";"ES0427";"F43393065";"CRISOL DE FRUTOS SECOS";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"144";"ES0430";"B50561091";"FRUTARIA AGRICULTURA S.L.";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"145";"ES0432";"V30405880";"SAT Nº 9504  URCISOL";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"146";"ES0434";"V25306952";"SAT NÚM 1250 CAT APETIT FRUIT";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"147";"ES0442";"F25309329";"LA MORENETA";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"148";"ES0444";"F21014063";"COSTA DE HUELVA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"149";"ES0445";"F21018114";"SANTA MARÍA DE LA RÁBIDA (CORA)";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"150";"ES0446";"B30160402";"LA CIEZANA VENTA DEL OLIVO";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"151";"ES0454";"V30039093";"SAT Nº 1936 AGROTER";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"152";"ES0456";"F25331075";"ALCOFRUSE";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"153";"ES0457";"A30418255";"GRUPO HORTOFRUTICOLA PALOMA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"154";"ES0458";"F03917523";"SAT 9490 TOMSPRING";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"155";"ES0460";"F04192563";"ALBENTILLAS";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;30/01/2024
"156";"ES0462";"V25331364";"SAT Nº 1303 CAT “FRI-FRUIT” ";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"157";"ES0467";"F21053343";"ARROYO GRANDE";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"158";"ES0470";"F43415132";"ARBORETO";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"159";"ES0471";"F04030292";"PARAFRUTS";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;23/07/2024
"160";"ES0473";"F10026128";"AGRUPACION DE COOP. DEL VALLE DEL JERTE";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"161";"ES0476";"F25350604";"LEMA";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"162";"ES0478";"F04210399";"AGROIRIS";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"163";"ES0479";"V04020533";"ACRENA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"164";"ES0483";"V30455513";"SAT Nº 9688 AGRICULTORES DEL SURESTE";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"165";"ES0484";"F35375096";"JULIANO BONNY GOMEZ";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"166";"ES0487";"F46026605";"SECCIÓN HORTOFRUTICOLA DE LA COOPERATIVA PEDRALBA VINÍCOLA S. COOP. V.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;14/08/2025
"167";"ES0492";"F04026043";"LAS HORTICHUELAS";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"168";"ES0498";"F30408942";"SECCIÓN OP DE FRUTOS DE CÁSCARA DE FRUSEMUR";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"169";"ES0500";"f24300378";"COMERCIAL FRUTICULTORES DEL BIERZO S. COOP.";"Organización de productores de frutas y hortalizas";"CASTILLA - LEON";26/12/2023;;
"170";"ES0501";"F04191227";"CITRICOS DEL ANDARAX";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"171";"ES0502";"F30711139";"GRUPO CFM";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"172";"ES0505";"F04047783";"COPROHNIJAR";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"173";"ES0506";"F04231429";"DUNIAGRO";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"174";"ES0507";"V04188488";"INDASOL";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"175";"ES0511";"F30142202";"SAGRADO CORAZON DE JESUS ( SACOJE )";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"176";"ES0513";"F96470984";"LEVANTINA AGRICOLA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"177";"ES0514";"F25008285";"AGROPECUARIA DE SOSES, SCCL";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"178";"ES0517";"F50607589";"JALON FRUT";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"179";"ES0518";"F50011097";"VIRGEN DE LA OLIVA";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"180";"ES0524";"F06183628";"COFRUITS";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
