"Código SIEX";"Código asociación";"NIF";"Razón social";"Detalle";"CA";Fecha de alta;Fecha de modificación;Fecha de baja
"27";"11400057";"F14011548";"OLIV. NTRA. SRA. DE LOS DESAMPARADOS SCA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"28";"11400016";"F14012314";"S.C.A. OLIVARERA PONTANENSE";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"29";"11400014";"F14015168";"S.C.A. OLIVARERA NTRA. SRA. DE LA SALUD";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"30";"11400006";"F14015622";"AGROPECUARIA SAN FCO. DE BORJA, S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"31";"11400010";"F14016547";"COOP. VITIVINÍCOLA LA PURÍSIMA, S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"32";"11400087";"F14018022";"S.C.A. VIRGEN DE LA TORRE";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"33";"11400005";"F14615983";"S.A.T. OLEOPALMA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"34";"11400032";"F14803241";"S.C.A. ALMAZARAS DE LA SUBBETICA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"35";"11400033";"F14825343";"FEDEPROL CORDOBA, S.C.A. 2º GRADO";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"36";"11800025";"F18004705";"COOP. Nª Sª DEL PILAR S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"37";"11800011";"F18004887";"COOP. AGRÍCOLA SAN ISIDRO DE LOJA S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"38";"11800036";"F18004986";"COOP AGRÍCOLA SAN FRANCISCO SCA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"39";"11800014";"F18006528";"S.C.A. SAN SEBASTIAN";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"40";"11800046";"F18008292";"NTRA SRA DE LOS REMEDIOS CAMPOTÉJAR";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"41";"11800015";"F18008482";"SCA Nª Sª  DE LOS REMEDIOS";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"42";"11800050";"F18009241";"SCA NTRA. SRA. DEL ROSARIO";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"43";"11800053";"F18009258";"SAN ANTONIO DE COGOLLOS VEGA S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"44";"11800037";"F18009753";"SAN LORENZO S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"45";"11800019";"F18010520";"SAN FRANCISCO DE ASIS DE MONTEFRIO, SCA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"46";"11800029";"F18013664";"EL GRUPO SOCIEDAD COOPERATIVA ANDALUZA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"47";"11800044";"F18024067";"S.C.A. DEL CAMPO SANTA MONICA DE PIÑAR";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"48";"11800024";"F18027391";"NTRA SRA DEL ROSARIO S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"49";"11800017";"F18061523";"CERRO GORDO S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"50";"11800022";"F18322198";"ALMAZARA DE MONTILLANA S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"51";"11800013";"F18473561";"TEMPLEOLIVA SCA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"52";"11800051";"F18572354";"ACEITES ALGARINEJO S.C.A";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"53";"11800061";"F19578673";"oleomontes S.Coop.And";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"54";"12100077";"F21004858";"S.C.A. NTRA. SRA. DE LA BELLA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"55";"12100093";"F21021183";"FRUTOS DEL CONDADO, S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"56";"12100065";"F21030473";"SAT CONDADO DE HUELVA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"57";"12100097";"F21047329";"COOP AGRARIA HORT. DE CARTAYA, S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"58";"12100054";"F21053343";"ARROYO GRANDE, S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"59";"12100022";"F21057039";"MOGUER CUNA DE PLATERO, S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"60";"12100026";"F21100458";"FRESAFLOR, S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"61";"12100100";"F21273008";"ALFRUT S.A.T.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"62";"12100211";"F21284997";"INTER TERRA, S.A.T.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"63";"12100109";"F21310743";"COMERCIAL AGRICOLA LA RABIDA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"64";"12100067";"F21398128";"FRESPALOS, S.A.T.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"65";"12100243";"F21543715";"FRUTA DE ANDALUCIA, S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"66";"12100177";"F21577978";"SABOR DE HUELVA, S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"67";"12300042";"F23005168";"S.C.A. SAN ISIDRO (CASTILLO DE LOCUBÍN)";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"68";"12300006";"F23005176";"S.C.A. UNIÓN DE ÚBEDA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"69";"12300094";"F23005564";"S.C.A. DEL CAMPO ""EL ALCAZAR""";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"70";"12300040";"F23005606";"S.C.A. BEDMARENSE";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"71";"12300043";"F23006463";"SCA VIRGEN DEL PERPETUO SOCORRO";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"72";"12300011";"F23009046";"S.C.A. SAN ISIDRO";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"73";"12300029";"F23010143";"S.C.A DEL CAMPO LA CARRERA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"74";"12300014";"F23200819";"UNIÓN DE CANENEROS SCA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"75";"12300086";"F23338270";"OLEOCAMPO SCA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"76";"12300015";"F23502800";"LA VEGA DE VILLANUEVA, S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"77";"12300106";"F23791635";"S. COOP. AND. CIUDAD DE JAEN";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"78";"12900037";"F29038908";"S. COOP. AND. VIRGEN DE LA OLIVA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"79";"12900017";"F29040623";"ALMENDRERA DEL SUR S.COOP.AND";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"80";"11800068";"F29249018";"DCOOP S.COOP.AND";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"81";"12900004";"F29634805";"LA PURISIMA CONCEPCION DE ALAMEDA S.C.A";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"82";"14100013";"F41006115";"S.C.A. AGROPECUARIA INDUSTRIAL";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"83";"14100167";"F41020611";"S.C.A. NTRA SRA DE LA FUENSANTA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"84";"14100047";"F41021320";"S.C.A. AGRARIA SAN LUIS";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"85";"14100062";"F41021338";"S.C.A. DEL CAMPO SAN ROQUE";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"86";"14100067";"F41021437";"S.C.A. NTRA SRA DEL ROSARIO";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"87";"14100071";"F41021486";"S.C.A.SAN SEBASTIAN";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"88";"14100009";"F41021544";"SCA PRODUCTORES DEL CAMPO";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"89";"14100074";"F41027418";"OLIVARERA SOR ANGELA DE LA CRUZ S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"90";"14100079";"F41027780";"OLIV. SAN JOSE DE LORA DE ESTEPA,S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"91";"14100173";"F41028242";"OLIVARRERA SAN ISIDRO DE GILENA, S.C.A";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"92";"14100022";"F41028580";"LAS PALMERAS, S. COOP. AND.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"93";"14100068";"F41028648";"SAT 1941 SANTA TERESA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"94";"14100129";"F41030099";"OLIVARERA SAN PLACIDO, S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"95";"14100066";"F41047960";"S.C.A. NTRA SRA DE LA PAZ";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"96";"14100050";"F41057464";"COESAGRO, S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"97";"14100020";"F41074220";"LAS MARISMAS DE LEBRIJA S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"98";"14100011";"F41107541";"TRAJANO, S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"99";"14100159";"F41111659";"COOPERATIVA AGRICOLA DE PARADAS,S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"100";"14100021";"F41211327";"LA CAMPIÑA DE LEBRIJA S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"101";"14100023";"F41246877";"MARIBAÑEZ-ADRIANO  S.C.A";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"102";"14100085";"F41538919";"MANCERA, S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"103";"14100075";"F41567991";"COOPERATIVA OLIVARERA DE PEDRERA, SCA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"104";"14100194";"F41683962";"COOPERATIVA OLIVARERA DE CASARICHE SCA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"105";"14100065";"F41925439";"AGRICULTORES REUNIDOS CABECENSES S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"106";"11100021";"F72197692";"NTRA. SRA. DE LOS REMEDIOS-PICASAT S.C.A";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"107";"14100276";"F90463100";"OLEAND MANZANILLA OLIVE S.COOP.AND.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"108";"14100063";"F91051128";"ARBEQUISUR S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"109";"14100175";"F91953976";"AGROJARA S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"110";"12300120";"G02795540";"A.P.I. OLIVAR NTRA SRA DE LAS MERCEDES";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"111";"11100008";"G11618071";"ASAJA CÁDIZ";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"112";"11100009";"G11836145";"API COAG 1";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"113";"11100073";"G11873494";"API TRIFERSA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"114";"11100080";"G11896198";"API DE JEREZ Y SU ENTORNO";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"115";"11100079";"G11896206";"API DE LA CAMPIÑA GADITANA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"116";"11400009";"G14112940";"OPRACOL CORDOBA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"117";"11400003";"G14715601";"ASOC.AGR. DE PROD. DE ACEITUNA RIO GENIL";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"118";"11400017";"G14745772";"API AGROCOTTON";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"119";"11400021";"G14748438";"API DE ALGODON UPA-CÓRDOBA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"120";"11400047";"G14929145";"ASOC. FOMENTO OLIVAR SOSTENIBLE-ZAYTUM";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"121";"11400043";"G14932016";"A.PRO.INTEGRADA TÉCNICA ANDALUCÍA CENTRO";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"122";"11400039";"G14932529";"ASOCIACIÓN BALAM API";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"123";"11400045";"G14939045";"ASOC. PRODUCCIÓN INTEGRADA EUROCÓRDOBA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"124";"11400049";"G14982649";"API EN OLIVAR DE LA SUBBETICA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"125";"14100200";"G14992655";"API DEL GUADALQUIVIR";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"126";"11800052";"G18488189";"ASOC. ACEITES DE OLIVA DEL PONIENTE DE G";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"127";"11800010";"G18728204";"OLEOSALAR GESTIÓN INTEGRADA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"128";"11800035";"G18861070";"API INNOVAOLIVA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"129";"11800047";"G18914432";"API INTER OLIVO";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"130";"11800048";"G18919555";"APIOLIVA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"131";"12100121";"G21509310";"ASOCIACION DE AGRICULTORES LA SACA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"132";"12300035";"G23391139";"OPR ALCALA SIERRA FRAILES";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"133";"12300010";"G23544141";"API ALTO GUADALQUIVIR";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"134";"12300017";"G23564347";"ASOC PRODUCTORES DE ALGODON DE JAÉN";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"135";"12300018";"G23565146";"AGRUPACION DE P.I. DE ANDALUCIA. ANDUJAR";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"136";"12300033";"G23619505";"ASOCIACIÓN DE P.I ILITURGITANA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"137";"12300034";"G23621568";"ASOC. AGRARIA DE P.I. SIERRA MORENA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"138";"12300036";"G23630437";"ASOC API CONDADO II";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"139";"12300037";"G23655236";"API CON DO SIERRA DE SEGURA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"140";"12300038";"G23668304";"A.PR.A.S.O.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"141";"12300041";"G23683766";"API PICUAL DE JAÉN";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"142";"12300045";"G23688740";"API TORRECAMPILLO";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"143";"12300052";"G23698954";"API ENTRE OLIVARES";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"144";"12300053";"G23702939";"API-NUTESCA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"145";"11400050";"G23704604";"API CALIDAD Y NATURALEZA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"146";"12300064";"G23734759";"API OLIVARES DE CANENA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"147";"12300063";"G23736242";"API SIERRA DE LAS VILLAS";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"148";"12300074";"G23753122";"API SIERRA SUR";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"149";"12300075";"G23753833";"API PICUALIA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"150";"12300088";"G23769615";"ASOC. AGRARIA PROD. INTEGRADA PROJAEN";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"151";"12300095";"G23781198";"API OLIVARES DE ARQUILLOS";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"152";"12300107";"G23808249";"API ORO BAILEN";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"153";"14100070";"G41262379";"FEDERACION DE ARROCEROS DE SEVILLA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"154";"12300127";"G67819938";"API OLIVAR TRADICIONAL";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"155";"11100013";"G72021983";"ASOC. AGRICULTORES BAHIA DE CÁDIZ";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"156";"14100186";"G90032319";"AGAMA BAJO GUADALQUIVIR";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"157";"14100190";"G90036286";"API AGRO HERRERA MARINALEDA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"158";"14100204";"G90160151";"PRODUCCIÓN INTEGRADA OLEORIGEN";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"159";"14100213";"G90189085";"API ECIJANA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"160";"14100214";"G90250127";"ATAGRI";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"161";"14100265";"G90345513";"API AGROISLAGENIL";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"162";"14100269";"G90409434";"ASOC. DE PRODUCCIÓN INTEGRADA LEBRISUR";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"163";"14100282";"G90477712";"ARROCES SOSTENIBLES DE DOÑANA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"164";"14100281";"G90478355";"ASOCIACION AGROITALICA-PINZON";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"165";"14100008";"G91434779";"ASOC. PRODUCCIÓN INTEGRADA EUROROSALES";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"166";"11100007";"G91435388";"ASOC. DE PROD INTEGRADA EUROLASCABEZAS";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"167";"14100007";"G91435701";"ASOC. DE PRODUCCIÓN INTEGRADA EUROECIJA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"168";"14100015";"G91439356";"PRODUCCIONES INTEGRADAS DE ANDALUCIA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"169";"14100014";"G91442012";"ASOCIACIÓN DE P.I. ""BAJO GUADALQUIVIR""";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"170";"14100122";"G91508911";"ASOCIACION BETICA DE PRODUCCION INTEGRAD";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"171";"14100087";"G91511147";"AGRO-ALGODON";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"172";"14100121";"G91511568";"AGRUPACION  EL  RECLAMO";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"173";"14100124";"G91511816";"APAGU";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"174";"14100123";"G91513044";"ASOCIACION DE AGRICULTORES DE LEBRIJA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"175";"14100111";"G91514901";"API SAN ANTONIO DE ÉCIJA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"176";"14100125";"G91607507";"ASOCIACION DE P.I. VETA HERRADO";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"177";"14100131";"G91609396";"A.P.I. LA RIBERA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"178";"14100146";"G91732388";"UNION PROFESIONAL DE ARROCEROS";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
