"Código SIEX";"Código asociación";"NIF";"Razón social";"Zona de control";"Certifica a A. ecológica";"Certifica a Producción Integrada";"Certifica a DOP";"Certifica a IGP";"Certifica a ETG";"Certifica producto ibérico";"Inspecciona a cerdo ibérico";"Dirección";"Teléfono";"Email";Fecha de alta;Fecha de modificación;Fecha de baja
"28";"ES-ECO-026-VAS";"Q2000531J";"CONSEJO DE AGRICULTURA Y ALIMENTACIÓN ECOLÓGICA DE EUSKADI";"PAÍS VASCO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Jauregibarria Auzoa, 4. 48340 - Amorebieta-Etxano (Bizkaia)";" 946 271 594";"info@ekolurra.eus";20/09/2023;14/05/2024;
"29";"ES-ECO-035-RI";"Q2600433C";"CONSEJO DE LA PRODUCCIÓN AGRARIA ECOLÓGICA DE LA RIOJA (CPAER)";"LA RIOJA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"C/Diego de Velázquez 5 Bajo. 26007 - Logroño (La Rioja)";" 941 289 451/603 217 907";"info@cpaer.org";20/09/2023;14/05/2024;
"30";"ES-ECO-012-AS";"Q8350067H";"CONSEJO DE LA PRODUCCIÓN AGRARIA ECOLÓGICA DEL PRINCIPADO DE ASTURIAS (COPAE)";"ASTURIAS";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Avda. Prudencio González 81. 33424 - Posada de Llanera (Asturias)";" 985 773 558";"copae@copaeastur.org";20/09/2023;14/05/2024;
"31";"ES-ECO-025-NA";"Q3150029A";"CONSEJO DE LA PRODUCIÓN AGRARIA ECOLÓGICA DE NAVARRA (CPAEN)";"NAVARRA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Edificio de Peritos (INTIA bulegoak). Av. Serapio Huici, 22-1ª Planta. 31610 Villava (Navarra)";" 948 17 83 32";"cpaen@cpaen.org";20/09/2023;14/05/2024;
"32";"ES-ECO-022-GA";"V27218643";"CONSEJO REGULADOR DE AGRICULTURA ECOLÓGICA DE GALICIA (CRAEGA)";"GALICIA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Ronda Emilia Casas Bahamonde, s/n (Edificio Multiusos). 27400 - Monforte de Lemos (Lugo)";" 982 405 300";"begona.gamarra@kiwa.com";20/09/2023;14/05/2024;
"33";"CR_BINI";"Q5755005E";"CONSEJO REGULADOR DE DENOMINACIÓN DE ORIGEN BINISSALEM";"BAL";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"Celler del Rei, 9 - 1º. 07350 - Binissalem (Illes Balears)";" 971.51.21.91";"info@binissalemdo.com";20/09/2023;20/05/2024;
"34";"CR_JPTE";"Q4421002I";"CONSEJO REGULADOR DE DENOMINACIÓN DE ORIGEN PROTEGIDA ""JAMÓN DE TERUEL""/""PALETA DE TERUEL""";"ARA";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"AVENIDA EUROPA, LOCALES 2-3. 44002 - Teruel (Teruel)";" 978.618.940";"consejo@jamondeteruel.com";20/09/2023;20/05/2024;
"35";"CR_ARRV";"Q9655804D";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN ""ARROZ DE VALENCIA""";"VAL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Avda. del Mar, nº 1. 46410 - Sueca (Valencia)";" 961 706 156";"santos@arrozdevalencia.org";20/09/2023;20/05/2024;
"36";"CR_BIER";"Q2471003J";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN ""BIERZO""";"CYL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"C/Mencía, 1. 24540 - Cacabelos (León)";" 987 549 408";"comunicacion@crdobierzo.es";20/09/2023;20/05/2024;
"37";"CR_KAKI";"Q9650033E";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN ""KAKI RIBERA DEL XÚQUER""";"VAL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Plaça País Valenciá, 7. 46250 - L Alcúdia (Valencia)";" 962 997 702";"d.o.kaki@kakifruit.com";20/09/2023;20/05/2024;
"38";"CR_NISP";"V03791530";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN ""NÍSPEROS CALLOSA D´EN SARRIÁ""";"VAL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Partida Micleta, s/n. Apdo. 84. 03510 - Callosa d En Sarrià (Alicante)";" 965 886 075";"do.tecnico@nispero.com";20/09/2023;20/05/2024;
"39";"CR_PLAL";"V07962442";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN ""PLA I LLEVANT""";"BAL";"NO";"NO";"SI";"NO";"SI";"NO";"NO";"C/ Canonge Barcelo 2. 07200 - Felanitx (Illes Balears)";" 971 168 569";"info@plaillevantmallorca.es; doplaillevant@gmail.com";20/09/2023;20/05/2024;
"40";"CR_TORO";"Q4921001F";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN ""TORO""";;"NO";"NO";"SI";"NO";"NO";"NO";"NO";"C/Isaías Carrasco, 4. 49800 - Toro (Zamora)";" 647 434 633";"certificacion@dotoro.es";20/09/2023;20/05/2024;
"41";"CR_RIOJ";"Q2671003H";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN CALIFICADA RIOJA";"RIO/NAV/PVA";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"C/ Estambrera, 52. 26006 - Logroño (La Rioja)";" 941 500 400";"consejo@riojawine.com";20/09/2023;20/05/2024;
"42";"CR_CAMP";"Q5021001B";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN CAMPO DE BORJA";"ARA";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Subida de San Andrés, 6. 50570 - Ainzón (Zaragoza)";" 976 852 122";"secretario@docampodeborja.com";20/09/2023;20/05/2024;
"43";"CR_CARI";"Q5095002A";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN CARIÑENA";"ARA";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Camino de la Platera, 7. 50400 - Cariñena (Zaragoza)";" 976 793 031";"certificacion@docarinena.com";20/09/2023;20/05/2024;
"44";"CR_CHUF";"Q9655133H";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN CHUFA DE VALENCIA";"VAL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Pl. de la Constitución, 17. 46120 - Alboraya (Valencia)";" 963 690 499";"info@chufadevalencia.org";20/09/2023;20/05/2024;
"45";"CR_CIGA";"Q4721001H";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN CIGALES";"CYL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"C/Corro Vaca,5. 47270 - Cigales (Valladolid)";" 983 580 074";"consejo@do-cigales.es";20/09/2023;20/05/2024;
"46";"CR_ALCA";"Q6250007I";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN PROTEGIDA ""ALCACHOFA DE BENICARLÓ""";"VAL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"C/ César Cataldo, 2 - 1º. 12580 - Benicarló (Castellón)";" 964 461 674";"alcachofablo@alcachofabenicarlo.com";20/09/2023;20/05/2024;
"47";"CR_ALIC";"Q5350001C";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN PROTEGIDA ""ALICANTE""";"VAL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"C/ Monjas, 6 . 03002 - Alacant (Alicante)";" 965 984 478";"info@vinosalicantedop.org";20/09/2023;20/05/2024;
"48";"CR_CAVA";"Q0871003J";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN PROTEGIDA ""CAVA""";"ARA/CAT/VAL/EXT/RIO/NAV/PVA";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Av. Tarragona, 24. 08720 - Vilafranca del Penedés (Barcelona)";" 938 903 104";"lmarco@crcava.es";20/09/2023;20/05/2024;
"49";"CR_CERJ";"V10184729 ";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN PROTEGIDA ""CEREZA DEL JERTE""";"EXT";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Ctra. Nacional, 110. Pol. Ind., Km. 381. 10613 - Navaconcejo (Cáceres)";" 927 471 101/ 03";"picota@cerezadeljerte.org";20/09/2023;20/05/2024;
"50";"CR_DEHE";"Q5650004D ";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN PROTEGIDA ""DEHESA DE EXTREMADURA""";"EXT";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"C/ Cánovas del Castillo, s/n, 2ªplta.. 06800 - Mérida (Badajoz)";" 924.33.02.03";"maria@dehesa-extremadura.com";20/09/2023;20/05/2024;
"51";"CR_GUIJ";"V37043676";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN PROTEGIDA ""GUIJUELO""";"AND/CLM/CYL/EXT";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Avenida Filiberto Villalobos, 4. 37770 - Guijuelo (Salamanca)";" 923 581 514";"m.rodriguez@origenguijuelo.com";20/09/2023;20/05/2024;
"52";"CR_IDZA";"Q5155003F";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN PROTEGIDA ""IDIAZABAL""";"NAV/PVA";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Granja Modelo Arkaute, s/n. 01192 - Vitoria-Gasteiz (Araba/Álava)";" 945 289 971";"mfanega@idiazabalgazta.eus";20/09/2023;20/05/2024;
"53";"CR_MHME";"Q0721003B";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN PROTEGIDA ""MAHÓN-MENORCA""";"BAL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Ctra. Des Grau, km. 0,5. 07700 - Maó (Illes Balears)";" 971.362295";"quesomahon@infotelecom.es";20/09/2023;20/05/2024;
"54";"CR_PIMV";"Q5655008J";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN PROTEGIDA ""PIMENTÓN DE LA VERA""";"EXT";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Avda. de la Constitución, 177. 10400 - Jaraíz de la Vera (Cáceres)";" 927 170 272";"info@pimentonvera-origen.com";20/09/2023;20/05/2024;
"55";"CR_SIDR";"Q3300299I";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN PROTEGIDA ""SIDRA DE ASTURIAS"".";"AST";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"C/Asturias s/n Edif.Capistrano, 1ª Planta. 33300 - Villaviciosa (Asturias)";" 985 893 208";"administracion@sidradeasturias.es";20/09/2023;20/05/2024;
"56";"CR_UTRQ";"Q4621001I";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN PROTEGIDA ""UTIEL REQUENA""";"VAL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"C/ Sevilla nº 12. 46300 - Utiel (Valencia)";" 962 171 062";"info@utielrequena.org";20/09/2023;20/05/2024;
"57";"CR_JUMI";"Q8050007G";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN PROTEGIDA JUMILLA";"CLM/MUR";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"C/ San Roque, 15. 30520 - Jumilla (Murcia)";" 968 781 761";"tecnicos2@vinosdejumilla.org";20/09/2023;20/05/2024;
"58";"CR_LEON";"Q2400564G";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN PROTEGIDA LEÓN";"CYL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Edificio Mirador de la Condesa, s/n. Complejo La Isla. 24200 - Valencia de Don Juan (León)";" 628 633 020";"gestiontecnica@doleon.es";20/09/2023;20/05/2024;
"59";"CR_GARR";"G25049164";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN PROTEGIDA LES GARRIGUES";"CAT";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Complex La Caparrella, 97. 25192 - Lleida (Lleida)";" 973 280 470";"olidoplesgarrigues@olidoplesgarrigues.com";20/09/2023;20/05/2024;
"60";"CR_MELO";"G44170413";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN PROTEGIDA MELOCOTÓN DE CALANDA";"ARA";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Muro Sta María, s/n. Edificio Molino Mayor, 1ª planta. 44600 - Alcañiz (Teruel)";" 978 835 693";"info@melocotondecalanda.com";20/09/2023;20/05/2024;
"61";"CR_PIMU";"Q3000217D";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN PROTEGIDA PIMENTÓN DE MURCIA";"AND/MUR/VAL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Avenida de Santa Eulalia, 7. 30850 - Totana (Murcia)";" 968 424 016";"consejo@pimentondemurcia.es";20/09/2023;20/05/2024;
"62";"CR_RUED";"V47042395";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN PROTEGIDA RUEDA";"CYL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"C/ Real, nº 8. 47490 - Rueda (Valladolid)";" 983 868 248";"crdo.rueda@dorueda.com";20/09/2023;20/05/2024;
"63";"CR_TORT";"Q1000181F ";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN PROTEGIDA TORTA DEL CASAR";"EXT";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Avda. Constitución, 13. 10190 - Casar de Cáceres (Cáceres)";" 927.29.07.13";"dirección@tortadelcasar.eu";20/09/2023;20/05/2024;
"64";"CR_QMUR";"Q8055018I";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN QUESO DE MURCIA Y QUESO DE MURCIA AL VINO";"MUR";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Plaza de la Alcoholera, 3 - 2ª planta. Edificio Sociocultural Roque Baños. 30520 - Jumilla (Murcia)";" 968 783 804";"quesosdemurcia@quesosdemurcia.com";20/09/2023;20/05/2024;
"65";"CR_RSAC";"G27196575";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN RIBEIRA SACRA";"GAL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Rua do Comercio, 6 - 8. 27400 - Monforte de Lemos (Lugo)";" 982.410.968";"info@ribeirasacra.org";20/09/2023;20/05/2024;
"66";"CR_RDUE";"Q0921001D";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN RIBERA DEL DUERO";"CYL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"C/ Hospital, 6. 09300 - Roa (Burgos)";" 947 541 221";"info@riberadelduero.es";20/09/2023;20/05/2024;
"67";"CR_VALD";"Q8255004G";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN VALDEORRAS";"GAL";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"Carretera Nacional 120. P.K 463. 32340 - Vilamartín de Valdeorras (Ourense)";" 988.300.295";"consello@dovaldeorras.com";20/09/2023;20/05/2024;
"68";"CR_VALE";"Q9655135C";"CONSEJO REGULADOR DE LA DENOMINACIÓN DE ORIGEN VALENCIA";"VAL";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"C/ Quart, 22. 46001 - Valencia (Valencia)";" 96.391.00.96";"info@vinovalencia.org";20/09/2023;20/05/2024;
"69";"CR_CORE";"G06228910 ";"CONSEJO REGULADOR DE LA I.G.P. CORDERO DE EXTREMADURA";"EXT";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"Avda. Juan Carlos I nº47. 06800 - Mérida (Badajoz)";" 924.31.03.06";"corderex@corderex.com";20/09/2023;20/05/2024;
"70";"CR_TERA";"Q5095003I";"CONSEJO REGULADOR DE LA IGP TERNASCO DE ARAGÓN";"ARA";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"Ctra. de Cogullada nº 65. Mercazaragoza. Edificio Centrorigen. 50014 - Zaragoza (Zaragoza)";" 976.47.08.13";"info@ternascodearagon.es";20/09/2023;20/05/2024;
"71";"CR_CERM";"V03321783";"CONSEJO REGULADOR DE LA INDICACIÓN GEOGRÁFICA PROTEGIDA ""CEREZAS DE LA MONTAÑA DE ALICANTE""";"VAL";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"Ctra. Albaida-Denia, s/n. 03788 - Alpatró (Alicante)";" 966 406 640";"info@cerezas.org";20/09/2023;20/05/2024;
"72";"CR_CITR";"Q4601008H";"CONSEJO REGULADOR DE LA INDICACIÓN GEOGRAFICA PROTEGIDA ""CITRICOS VALENCIANOS""";"VAL";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"C/ Guillem de Castro, 51 - planta cuarta, puerta 8. 46007 - Valencia (Valencia)";" 963 154 052";"info@citricosvalencianos.com";20/09/2023;20/05/2024;
"73";"CR_MIGA";"V15211303";"CONSEJO REGULADOR DE LA INDICACION GEOGRAFICA PROTEGIDA ""MIEL DE GALICIA""";"GAL";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"Pazo de Quián, s/n - Sergude. 15881 - Boqueixón (A Coruña)";" 981 511 913";"info@mieldegalicia.org";20/09/2023;20/05/2024;
"74";"CR_SOBR";"Q5750005J";"CONSEJO REGULADOR DE LA INDICACIÓN GEOGRÁFICA PROTEGIDA ""SOBRASADA DE MALLORCA""";"BAL";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"C/ Cuba, 2 - bajos. 07006 - Palma (Illes Balears)";" 971.256.184";"correo@sobrasadademallorca.org";20/09/2023;20/05/2024;
"75";"CR_TERN";"Q3150023D";"CONSEJO REGULADOR DE LA INDICACIÓN GEOGRÁFICA PROTEGIDA ""TERNERA DE NAVARRA""";"NAV";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"AVENIDA SERAPIO HUICI, 22. Edificio Peritos. 31610 - Villava/Atarrabia (Navarra)";" 948 013045";"cdiazdecerio@intiasa.es";20/09/2023;20/05/2024;
