"Código SIEX";"NIF";"Razón social";"Especie";"Email";"Teléfono";"Detalle";"Autoridad competente"
"20";"G49160690";"ASOCIACIÓN ESPAÑOLA DE CRIADORES DE GANADO SELECTO DE RAZA ALISTANA-SANABRESA";"Bovinos";"alistanasanabresa@gmail.com";"980 52 06 19 /680 21 22 02/ 648239181";"Asociación de razas";"CASTILLA Y LEÓN"
"21";"G33077603";"ASOCIACIÓN ESPAÑOLA DE CRIADORES DE GANADO VACUNO SELECTO DE RAZA ASTURIANA DE LA MONTAÑA.";"Bovinos";"aseamo@aseamo.com";"985950570 - 649826576";"Asociación de razas";"MAPA"
"22";"G33067257";"ASOCIACIÓN ESPAÑOLA DE CRIADORES DE GANADO VACUNO SELECTO DE RAZA ASTURIANA DE LOS VALLES";"Bovinos";"aseava@aseava.com";"985770201";"Asociación de razas";"MAPA"
"23";"G28324283";"ASOCIACION ESPAÑOLA DE CRIADORES DE GANADO VACUNO SELECTO DE RAZA AVILEÑA-NEGRA IBERICA";"Bovinos";"asociacion@razaavilena.com";"920352228 / 630934678";"Asociación de razas";"MAPA"
"24";"G-3740818";"AGRUPACIÓN NACIONAL DE ASOCIACIONES DE CRIADORES DE GANADO BOVINO DE LAS RAZAS BERRENDA EN NEGRO Y BERRENDA EN COLORADO";"Bovinos";"razaberrenda@gmail.com";"918521113 / 606758341 / 654399227";"Asociación de razas";"MAPA"
"25";"G31914328";"FEDERACIÓN DE CRIADORES DE BETIZU/ BETIZU HAZLEEN FEDERAZIOA";"Bovinos";"miguel.reta.azcona@navarra.es";"948 55 64 03 /  669888897";"Asociación de razas";"NAVARRA"
"26";"G06263131";"ASOCIACIÓN NACIONAL DE GANADEROS DE RAZA BLANCA CACEREÑA";"Bovinos";"razablancacacerena@gmail.com";"636580379";"Asociación de razas";"EXTREMADURA"
"27";"G-2067891";"CONFEDERACIÓN NACIONAL DE CRIADORES DE GANADO BOVINO SELECTO DE LA RAZA BLONDE DE AQUITANIA";"Bovinos";"conaba@blondeaquitania.es";"943083881 / 943083880 / 688607879";"Asociación de razas";"MAPA"
"28";"G25265471";"FEDERACIÓ CATALANA DE LA VACA BRUNA DELS PIRINEUS";"Bovinos";"bruna@brunadelspirineus.org";"93 821 41 24 / 667 52 35 77";"Asociación de razas";"CATALUÑA"
"29";"G32253619";"ASOCIACIÓN DE CRIADORES DA RAZA BOVINA CACHENA";"Bovinos";"cachega@boaga.es";"988323613;634548600";"Asociación de razas";"GALICIA"
"30";"G32253593";"ASOCIACIÓN DE CRIADORES DA RAZA BOVINA CALDELÁ";"Bovinos";"caldega@boaga.es";"988323613";"Asociación de razas";"GALICIA"
"31";"G38240883";"ASOCIACIÓN CANARIA DE ARRASTRE, FOMENTO Y CRÍA DE GANADO BASTO Y NACIONAL DE CRIADORES DE GANADO VACUNO SELECTO DE RAZA BASTA DE LA TIERRA CANARIA";"Bovinos";"federaciondearrastrecanario@yahoo.es";"922 26 31 89 / 680 44 68 47";"Asociación de razas";"ISLAS CANARIAS"
"32";"G23571631";"ASOCIACIÓN DE CRIADORES DE GANADO BOVINO DE RAZA CÁRDENA ANDALUZA";"Bovinos";"info@cardenaandaluza.com";"675 51 36 08";"Asociación de razas";"MAPA"
"33";"G2853260";"ASOCIACIÓN NACIONAL DE CRIADORES DE GANADO VACUNO CHAROLÉS DE ESPAÑA";"Bovinos";"asociaciondecharoles@gmail.com";"927217190";"Asociación de razas";"MAPA"
"34";"G06507115";"UNIÓN DE CRIADORES DE GANADO VACUNO SELECTO CHAROLÉS DE ESPAÑA";"Bovinos";"uniondecharoles@hotmail.com";"924253970 / 630199487 / 652315146";"Asociación de razas";"MAPA"
"35";"G50170919";"ASOCIACIÓN DE CRIADORES DE GANADO VACUNO FLECKVIEH-SIMMENTAL DE ESPAÑA";"Bovinos";"info@fleckvieh.es";"976586625 / 647145563";"Asociación de razas";"MAPA"
"36";"G32253627";"ASOCIACIÓN DE CRIADORES DA RAZA BOVINA FRIEIRESA";"Bovinos";"frieirega@boaga.es";"988323613;634548600";"Asociación de razas";"GALICIA"
"37";"G79853628";"CONFEDERACIÓN DE ASOCIACIONES DE FRISONA ESPAÑOLA";"Bovinos";"conafe@conafe.com";"918952412";"Asociación de razas";"MAPA"
"38";"G79541736";"AGRUPACIÓN ESPAÑOLA DE GANADEROS DE RESES BRAVAS";"Bovinos";"info@resesbravas.com";"914619970";"Asociación de razas";"MAPA"
"39";"G80220452";"ASOCIACIÓN BOVINA GANADEROS DE LIDIA UNIDOS";"Bovinos";"oficina@ganaderoslidia.com";"91 403 49 47";"Asociación de razas";"MAPA"
"40";"G28528966";"ASOCIACION DE GANADERIAS DE LIDIA";"Bovinos";"sga@asociacionlidia.com";"91 429 56 25 / 91 429 02 51";"Asociación de razas";"MAPA"
"41";"G37405420";"ASOCIACIÓN DE GANADEROS DE RESES DE LIDIA";"Bovinos";"info@ganaderosresesdelidia.com";"923213073 - 630407149";"Asociación de razas";"MAPA"
"42";"G2855602";"UNIÓN DE CRIADORES DE TOROS DE LIDIA";"Bovinos";"landeta.direcciontecnica@toroslidia.com";"914475781";"Asociación de razas";"MAPA"
"43";"G32253585";"ASOCIACIÓN DE CRIADORES DA RAZA BOVINA LIMIÁ";"Bovinos";"limiaga@boaga.es";"988323613;634548600";"Asociación de razas";"GALICIA"
"44";"V80467053";"FEDERACIÓN ESPAÑOLA DE CRIADORES DE GANADO VACUNO DE LA RAZA LIMUSINA";"Bovinos";"librogenealogico@razalimusin.org";"923 88 00 50 // 91 577 19 82 / 91 577 18 53";"Asociación de razas";"MAPA"
"45";"G07857352";"ASSOCIACIÓ DE CRIADORS DE BESTIAR BOVÍ DE RAÇA MALLORQUINA";"Bovinos";"gabrielpuigserver@gmail.com";"608830491";"Asociación de razas";"ILLES BALEARS"
"46";"G07877459";"ASSOCIACIÓ DE RAMADERS DE BESTIAR BOVÍ DE RAÇA DE MENORCA";"Bovinos";"vaca.menorca@gmail.com";"971384745";"Asociación de razas";"ILLES BALEARS"
"47";"G39075692";"ASOCIACIÓN ESPAÑOLA DE CRIADORES DE GANADO VACUNO DE RAZA MONCHINA";"Bovinos";"mfernandez010875@hotmail.com";"942877228 /657842882";"Asociación de razas";"CANTABRIA"
"48";;"ASOCIACIÓN VASCA DE CRIADORES DE RAZA BOVINA MONCHINA";"Bovinos";"jgarro@lorra.eus";"946690974";"Asociación de razas";"PAÍS VASCO"
"49";"G37017738";"ASOCIACIÓN NACIONAL DE CRIADORES DE GANADO VACUNO SELECTO DE RAZA MORUCHA";"Bovinos";"rmorucha@morucha.com";"923280892";"Asociación de razas";"MAPA"
"50";"G14692958";"ASOCIACIÓN DE CRIADORES DE RAZA NEGRA ANDALUZA";"Bovinos";"asociacion@negraandaluza.es";"669 93 51 69";"Asociación de razas";"ANDALUCÍA"
"51";"G92291103";"ASOCIACIÓN DE CRIADORES DE GANADO VACUNO DE RAZA PAJUNA";"Bovinos";"razapajuna@gmail.com";"669100273";"Asociación de razas";"ANDALUCÍA"
"52";"G25721630";"ASSOCIACIÓ DE CRIADORS DE LA VACA PALLARESA";"Bovinos";"pallaresa@vacapallaresa.cat";"637047990 / 692815400";"Asociación de razas";"CATALUÑA"
"53";"G38517108";"ASOCIACIÓN ESPAÑOLA DE CRIADORES DE GANADO VACUNO SELECTO DE RAZA PALMERA.";"Bovinos";"info@avapal.com";"629547841";"Asociación de razas";"ISLAS CANARIAS"
"54";"G24011264";"ASOCIACIÓN NACIONAL DE CRIADORES DE GANADO VACUNO SELECTO DE RAZA PARDA";"Bovinos";"asociacion@razaparda.es";"34669828572";"Asociación de razas";"MAPA"
"55";"G22250898";"ASOCIACIÓN DE CRIADORES DE RAZA BOVINA PARDA DE MONTAÑA";"Bovinos";"araparda@pardademontana.com";"974 400 000, 626 548 604, 608 50 90 10";"Asociación de razas";"MAPA"
"56";"G83249045";"FEDERACIÓN ESPAÑOLA DE ASOCIACIONES Y CRIADORES DE GANADO VACUNO SELECTO DE RAZA PARDA DE MONTAÑA";"Bovinos";"federacionparmon@gmail.com";"669 769 547";"Asociación de razas";"MAPA"
"57";"G39639943";"ASOCIACIÓN DE CRIADORES DE GANADO VACUNO DE LA AGRUPACIÓN PASIEGA";"Bovinos";"rojaspasiegas@hotmail.com";"674748791";"Asociación de razas";"CANTABRIA"
"58";"G31237860";"CONFEDERACION DE ASOCIACIONES DE CRIADORES DE GANADO SELECTO DE RAZA PIRENAICA";"Bovinos";"ylarrion@aspina.centroiza.com";"948 30 20 21";"Asociación de razas";"MAPA"
"59";"G78218609";"ASOCIACIÓN NACIONAL DE CRIADORES DE GANADO VACUNO SELECTO RAZA RETINTA";"Bovinos";"razaretinta@retinta.es";"914682205";"Asociación de razas";"MAPA"
"60";"G27007061";"ASOCIACIÓN NACIONAL DE CRIADORES DE GANADO VACUNO SELECTO DE RAZA RUBIA GALLEGA";"Bovinos";"rubia@acruga.com";"982226068 / 982251842";"Asociación de razas";"MAPA"
"61";"G49112444";"ASOCIACIÓN ESPAÑOLA DE CRIADORES DE GANADO DE RAZA SAYAGUESA";"Bovinos";"asociacion@razasayaguesa.org";"980 16 14 14";"Asociación de razas";"CASTILLA Y LEÓN"
"62";"G44183143";"ASOCIACIÓN DE GANADEROS DE RAZA SERRANA NEGRA IBÉRICA DE ARAGÓN (ASERNA)";"Bovinos";"aserna@serranadeteruel.com";"689 342 119";"Asociación de razas";"ARAGÓN"
"63";"G42156752";"ASOCIACIÓN DE CRIADORES DE GANADO BOVINO DE RAZA SERRANA NEGRA";"Bovinos";"asevet@asevet.net";"650933396/699796129";"Asociación de razas";"CASTILLA Y LEÓN"
"64";"G01406123";"EUSKADIKO TERREÑO FEDERAKUNTZA FEDERACIÓN DE CRIADORES DE GANADO DE RAZA TERREÑA DE EUSKADI";"Bovinos";"sergefez@gmail.com";"686 007 645 / 945 132 343";"Asociación de razas";"PAÍS VASCO"
"65";"G39063268";"ASOCIACIÓN NACIONAL DE CRIADORES DE GANADO VACUNO DE RAZA TUDANCA";"Bovinos";"sindo_asaja@jsder.com";"942215018";"Asociación de razas";"MAPA"
"66";"G32253601";"ASOCIACIÓN DE CRIADORES DA RAZA VIANESA";"Bovinos";"vianega@boaga.es";"988323613;634548600";"Asociación de razas";"GALICIA"
"67";"G21163944";"ASOCIACIÓN NACIONAL DE CRIADORES DE GANADO MARISMEÑO";"Équidos, Bovinos";"gapurama@gmail.com";"959450817";"Asociación de razas";"ANDALUCÍA"
"70";"G95746400";"EUSKADIKO AZPIGORRI FEDERAZIOA";"Caprinos";"lestevez@lorra.eus";"944555063";"Asociación de razas";"PAÍS VASCO"
"71";"G33563487";"ASOCIACIÓN DE CRIADORES DE CABRA BERMEYA";"Caprinos";"info@cabrabermeya.es";"613 128 610";"Asociación de razas";"PRINCIPADO DE ASTURIAS"
"72";"G23534837";"ASOCIACIÓN NACIONAL DE CRIADORES DE GANADO CAPRINO DE RAZA BLANCA ANDALUZA O SERRANA";"Caprinos";"ablanse@cabrablancaserrana.com";"957553014/ 653422588";"Asociación de razas";"ANDALUCÍA"
"73";"G02213205";"ASOCIACIÓN DE GANADEROS CRIADORES DE LA RAZA CAPRINA BLANCA CELTIBÉRICA";"Caprinos";"info@agrace.es";"967558259 / 637405774";"Asociación de razas";"MAPA"
"74";"G55524847";"ASSOCIACIÓ DE RAMADERS DE CABRA BLANCA DE RASQUERA";"Caprinos";"arcabrablancarasquera@gmail.com";"653 968 972";"Asociación de razas";"CATALUÑA"
"75";"G49276694";"ASOCIACIÓN NACIONAL DE CRIADORES DE GANADO CAPRINO DE RAZA AGRUPACIÓN DE LAS MESETAS";"Caprinos";"anca@razacastellana.es";"980533484  625603484";"Asociación de razas";"CASTILLA Y LEÓN"
"76";"G32413668";"ASOCIACIÓN DE GANDEIROS DE CABRA GALEGA";"Caprinos";"cabragalega@cabragalega.com";"634548600";"Asociación de razas";"GALICIA"
"77";"G81297723";"ASOCIACIÓN CRIADORES GANADO CAPRINO DE LA RAZA DEL GUADARRAMA";"Caprinos";"cabraguadarrama@hotmail.com";"91 846 15 77 / 606 44 22 25";"Asociación de razas";"MADRID"
"78";"G57485245";"ASSOCIACIÓ DE CRIADORS DE CABRA PITIÜSA";"Caprinos";"tecnicafepira@gmail.com";"652675352";"Asociación de razas";"ILLES BALEARS"
"79";"G14456289";"ASOCIACIÓN ESPAÑOLA DE CRIADORES DE GANADO CAPRINO DE RAZA FLORIDA";"Caprinos";"mdoloreslopez@acriflor.org";"687 72 01 75 / 957 21 26 59";"Asociación de razas";"MAPA"
"80";"G76091479";"FEDERACIÓN NACIONAL DE CRIADORES DE LA RAZA CAPRINA MAJORERA";"Caprinos";"federacioncaprinamajorera@gmail.com";"34666304995";"Asociación de razas";"ISLAS CANARIAS"
"81";"G29191095";"ASOCIACIÓN ESPAÑOLA DE CRIADORES DE LA CABRA MALAGUEÑA";"Caprinos";"cabrama@cabrama.com";"952 75 85 63";"Asociación de razas";"MAPA"
"82";"G07910946";"ASSOCIACIÓ DE RAMADERS DE CABRES DE RAÇA MALLORQUINA";"Caprinos";"miguelcrego@hotmail.com";"655877332  659740838";"Asociación de razas";"ILLES BALEARS"
"83";"G50819739";"ASOCIACIÓN DE CRIADORES DE GANADO CAPRINO DE RAZA MONCAÍNA";"Caprinos";"albertovet@colvet.es";"976 10 84 96 / 689 34 09 54 / 649 97 62 33";"Asociación de razas";"ARAGÓN"
"84";"G30205926";"ASOCIACIÓN ESPAÑOLA DE CRIADORES DE LA CABRA MURCIANO-GRANADINA";"Caprinos";"info@acrimur.es";"968781530";"Asociación de razas";"MAPA"
"85";"G18227876";"ASOCIACIÓN NACIONAL DE CRIADORES DE CAPRINO RAZA MURCIANO GRANADINA";"Caprinos";"j.fernandez@caprigran.com";"958467558; 655 697 128";"Asociación de razas";"MAPA"
"86";"G23511413";"ASOCIACIÓN NACIONAL DE GANADEROS EN RAZA CAPRINA NEGRA-CASTIZA";"Caprinos";"razasautoctonas@yahoo.es";"953 68 00 84  / 630 25 22 54";"Asociación de razas";"ANDALUCÍA"
"87";"G38900965";"ASOCIACIÓN DE CRIADORES DE CABRAS DE RAZA PALMERA";"Caprinos";"accabrapalmera@gmail.com";"692249192";"Asociación de razas";"ISLAS CANARIAS"
"88";"G11394798";"ASOCIACIÓN DE CRIADORES DE LA RAZA CAPRINA PAYOYA";"Caprinos";"payoya@payoya.com";"956 13 84 12";"Asociación de razas";"ANDALUCÍA"
"89";"G22238315";"ASOCIACIÓN DE CRIADORES DE GANADO CAPRINO DE RAZA PIRENAICA";"Caprinos";"aracrapi@feagas.es";"690 69 70 90";"Asociación de razas";"ARAGÓN"
"90";"G06402093";"ASOCIACIÓN DE CRIADORES DE GANADO CAPRINO DE RAZA RETINTA EXTREMEÑA";"Caprinos";"cabraretintaext@gmail.com";"672285257/620067795";"Asociación de razas";"EXTREMADURA"
"91";"G38926119";"ASOCIACIÓN NACIONAL DE CRIADORES DE CABRA TINERFEÑA";"Caprinos";"adsagate@yahoo.es";"922 26 31 89 / 680 44 68 47";"Asociación de razas";"ISLAS CANARIAS"
"92";"G06317655";"ASOCIACIÓN EXTREMEÑA DE CRIADORES DE GANADO CAPRINO DE RAZA VERATA";"Caprinos";"acriver@acriver.org";"927 115285/ 620067795";"Asociación de razas";"EXTREMADURA"
"93";"G41746488";"ASOCIACIÓN ESPAÑOLA DE CRIADORES DE CABALLOS ANGLO-ÁRABES";"Équidos";"aeccaa@angloarabe.net";"954925583 / 635531205 / 616695910";"Asociación de razas";"MAPA"
"94";"G81193138";"ASOCIACIÓN ESPAÑOLA DE CRIADORES DE CABALLOS ÁRABES";"Équidos";"aecca@aecca.es";"91 563 36 05 / 680418180";"Asociación de razas";"MAPA"
"95";"G33103045";"ASOCIACIÓN DE CRIADORES DE PONIS DE RAZA ASTURCÓN";"Équidos";"acpra@asturcones.com";"985 77 27 00";"Asociación de razas";"PRINCIPADO DE ASTURIAS"
"96";"G31525660";"ASOCIACION DE CRIADORES DE GANADO EQUINO BURGUETE DE NAVARRA";"Équidos";"amuniain@intiasa.es";"948013050 / 669888898";"Asociación de razas";"NAVARRA"
"97";"G41588203";"ASOCIACIÓN NACIONAL DE CRIADORES DEL CABALLO DE DEPORTE ESPAÑOL";"Équidos";"info@ancades.com";"915490925 / 915490984 / 915497402";"Asociación de razas";"MAPA"
"98";"G01517713";"EUSKAL HERRIKO MENDIKO ZALDI ARRAZAREN FEDERAKUNTZA FEDERACIÓN DE LA RAZA CABALLO DE MONTE DEL PAÍS VASCO";"Équidos";"jlaldama@abere.eus";"945-257411";"Asociación de razas";"PAÍS VASCO"
"99";"G27334168";"ASOCIACIÓN DE CRIADORES DE CABALO DE PURA RAZA GALEGA";"Équidos";"puraga@puraga.es";"689419722";"Asociación de razas";"GALICIA"
"100";"G25666538";"FEDERACIÓ D'ASSOCIACIONS DE CRIADORS DE CAVALL PIRINENC CATALÀ";"Équidos";"cavallpirinenccatala@gmail.com";"687729603    669298831";"Asociación de razas";"CATALUÑA"
"101";"G07592322";"ASOCIACIÓN DE CRIADORES Y PROPIETARIOS DE CABALLOS DE RAZA MALLORQUINA";"Équidos";"mallorquicavall@gmail.com";"659 32 54 81 /// 639308565";"Asociación de razas";"MAPA"
"102";"G07400658";"ASOCIACIÓN DE CRIADORES Y PROPIETARIOS DE CABALLOS DE RAZA MENORQUINA";"Équidos";"cavallmenorca@gmail.com";"971480916 / 638845772";"Asociación de razas";"MAPA"
"103";"G91037895";"UNIÓN ESPAÑOLA DE GANADEROS DE PURA RAZA HISPANO-ÁRABE";"Équidos";"uegha@caballohispanoarabe.com";"954421263 / 667621469";"Asociación de razas";"MAPA"
"104";"G22318224";"ASOCIACIÓN ARAGONESA DE CRIADORES DE EQUINO HISPANO-BRETÓN";"Équidos";"arahisbre@gmail.com";"676604933";"Asociación de razas";"ARAGÓN"
"105";"G39575550";"ASOCIACIÓN DE CRIADORES DE GANADO EQUINO DE RAZA HISPANO-BRETONA EN CANTABRIA 'MANADAS'";;"asociacion@hispanobretoncantabria.com";"650322579";"Asociación de razas";"CANTABRIA"
"106";"G09561606";"FEDERACIÓN NACIONAL DE CRIADORES Y PRODUCTORES DE GANADO EQUINO HISPANO-BRETÓN";"Équidos";"federacion.hispanobreton@gmail.com";"690652438";"Asociación de razas";"CASTILLA Y LEÓN"
"107";"G31651581";"ASOCIACION DE CRIADORES DE RAZA EQUINO JACA NAVARRA";"Équidos";"amuniain@intiasa.es";"669888898 / 948013050";"Asociación de razas";"NAVARRA"
"108";"G09312695";"ASOCIACIÓN DE CRIADORES DE CABALLOS LOSINOS 'EL BARDOJAL'";"Équidos";"caballolosino@telefonica.net";"947194027 / 677559456";"Asociación de razas";"CASTILLA Y LEÓN"
"109";"G39380191";"ASOCIACIÓN REGIONAL DE CRIADORES DE GANADO EQUINO DE RAZA MONCHINA";"Équidos";"asocrazamonchina@wanadoo.es";"657 84 28 82 / 942 87 72 28";"Asociación de razas";"CANTABRIA"
"110";"G95310215";"EUSKADIKO POTTOKAZALEEN FEDERAZIOA FEDERACIÓN DE CRIADORES DE PONEY VASCO DE RAZA POTTOKA DE EUSKADI";"Équidos";"minza@abelur.eus";"646755476";"Asociación de razas";"PAÍS VASCO"
"111";"G41071960";"ASOCIACIÓN NACIONAL DE CRIADORES DE CABALLOS DE PURA RAZA ESPAÑOLA";"Équidos";"ancce@ancce.com";"954689260";"Asociación de razas";"MAPA"
"112";"G79757977";"ASOCIACIÓN DE CRIADORES DE PURA SANGRE INGLÉS DE ESPAÑA.";"Équidos";"info@criadorespsi.es";"679 064 059 /915 502 301 / 695 560 329";"Asociación de razas";"MAPA"
"113";"G07293889";"ASOCIACIÓN DE CRIADORES Y PROPIETARIOS DE CABALLOS TROTADORES";"Équidos";"astrot@astrot.com";"971760716 / 667353357";"Asociación de razas";"MAPA"
"114";"G05405485";"ASOCIACIÓN DEL ASNO DE PURA RAZA ANDALUZA";"Équidos";"asnopra@gmail.com";"633307019";"Asociación de razas";"ANDALUCÍA"
"115";"Q0700676J";"INSTITUT DE RECERCA I FORMACIÓ AGROALIMENTÀRIA I PESQUERA DE LES ILLES BALEARS";"Équidos";"rraa@irfap.es";"971426171 (ext. 203)";"Asociación de razas";"ILLES BALEARS"
"116";"G95801346";"ENKARTERRIETAKO ASTOA ARRAZAREN HAZLEEN FEDERAZIOA FEDERACIÓN DE CRIADORES DE LA RAZA BURRO DE LAS ENCARTACIONES";"Équidos";"aegia@lorra.eus";"94 455 50 63";"Asociación de razas";"PAÍS VASCO"
"117";"G17210634";"ASSOCIACIÓ DEL FOMENT DE LA RAÇA ASININA CATALANA";"Équidos";"afracinfo@gmail.com";"646492310/608052534";"Asociación de razas";"CATALUÑA"
"118";"G35624121";"ASOCIACIÓN SOO... GRUPO PARA LA CONSERVACIÓN Y FOMENTO DEL BURRO MAJORERO";"Équidos";"acabrera@laprovincia.es";"696968186 / 928859105";"Asociación de razas";"ISLAS CANARIAS"
"119";"G49157282";"ASOCIACIÓN NACIONAL DE CRIADORES DE GANADO SELECTO DE RAZA ASNAL ZAMORANO-LEONES";"Équidos";"aszal@aszal.com";"980672523";"Asociación de razas";"CASTILLA Y LEÓN"
"120";"G35994755";"ASOCIACIÓN DE CRIADORES DEL CAMELLO CANARIO";"Dromedario";"asociacioncamellocanario@gmail.com";"619309362";"Asociación de razas";"ISLAS CANARIAS"
"121";"G62052931";"ASOCIACIÓN DE SELECCIONADORES Y MULTIPLICADORES CUNÍCOLAS DE ESPAÑA";"Conejos";"asemuce@gmail.com";"686 590 646";"Asociación de razas";"MAPA"
"122";"G16192114";"ASOCIACIÓN DE GANADEROS DE RAZA OVINA ALCARREÑA";"Ovinos";"jesus_colmenar@yahoo.es";"969 31 71 46 / 699 45 53 72";"Asociación de razas";"CASTILLA LA MANCHA"
"123";"G22254734";"ASOCIACIÓN DE CRIADORES DE OVINO ANSOTANO";"Ovinos";"acoan@colvet.es";"974 37 02 19 - 629607626";"Asociación de razas";"ARAGÓN"
"124";"G25558644";"ASSOCIACIÓ DE CRIADORS D'OVÍ DE RAÇA ARANESA";"Ovinos";"acora@feagas.es";"636 396 449";"Asociación de razas";"CATALUÑA"
"125";"G4752739";"ASOCIACIÓN NACIONAL DE CRIADORES DE GANADO OVINO DE RAZA ASSAF";"Ovinos";"gerencia@assafe.es";"980 52 59 68 / 609122272";"Asociación de razas";"MAPA"
"126";"G76070432";"FEDERACIÓN DE CRIADORES DE OVEJA CANARIA";"Ovinos";"ovejacanarialana@gmail.com";"679463554/660952999";"Asociación de razas";"ISLAS CANARIAS"
"127";"G38566568";"ASOCIACIÓN DE CRIADORES DE OVINO CANARIO DE PELO";"Ovinos";"iballaof@gmail.com";"677631027 - 677539124 - 649684977";"Asociación de razas";"ISLAS CANARIAS"
"128";"G44164721";"ASOCIACIÓN DE CRIADORES DE GANADO OVINO DE RAZA CARTERA";"Ovinos";"imartinez@oviaragon.com";"696367418";"Asociación de razas";"ARAGÓN"
"129";"G47083068";"ASOCIACIÓN NACIONAL DE CRIADORES DE GANADO OVINO SELECTO DE RAZA CASTELLANA";"Ovinos";"anca@razacastellana.es";"980 53 34 84 / 625 60 34 84";"Asociación de razas";"MAPA"
"130";"G26170662";"ASOCIACIÓN RIOJANA DE CRIADORES DE GANADO OVINO SELECTO DE RAZA CHAMARITA";"Ovinos";"farelola@hotmail.com";"941177205 / 606628449";"Asociación de razas";"LA RIOJA"
"131";"G34006981";"ASOCIACIÓN NACIONAL DE CRIADORES DE GANADO OVINO SELECTO DE RAZA CHURRA";"Ovinos";"anche@anche.org";"979742520";"Asociación de razas";"MAPA"
"132";"G72351448";"ASOCIACIÓN ANDALUZA DE CRIADORES DE LA RAZA OVINA CHURRA LEBRIJANA";"Ovinos";"churralebrijana@gmail.com";"690652438";"Asociación de razas";"ANDALUCÍA"
"133";"G22186126";"ASOCIACIÓN DE CRIADORES DE GANADO OVINO DE RAZA CHURRA TENSINA";"Ovinos";"atura@feagas.es";"690 69 70 90";"Asociación de razas";"ARAGÓN"
"134";"G81220410";"ASOCIACIÓN DE CRIADORES DE GANADO OVINO DE LA RAZA COLMENAREÑA";"Ovinos";"adsmaeva@hotmail.com";"918461577/ 629212349";"Asociación de razas";"MADRID"
"135";"G96649462";"ASOCIACIÓN NACIONAL DE CRIADORES RAZA GUIRRA";"Ovinos";"info@anguirra.com";"654 19 30 16";"Asociación de razas";"COMUNITAT VALENCIANA"
